Metabolite,Formula,Fragment,Huh7_Hypoxia_R_1,Huh7_Hypoxia_R_2,Huh7_Hypoxia_R_3,Huh7_Normoxia_R_1,Huh7_Normoxia_R_2,Huh7_Normoxia_R_3
,,cys412(M6),7929,37091,830,6.42E+03,21046,3.15E+04
,,cys413(M7),3.15E+03,2.13E+04,2.36E+02,1.84E+03,1.42E+04,1.99E+04
,,cys414(M8),1.49E+04,3.15E+04,3.35E+05,23145,14734,14695
,,cys415(M9),5.92E+03,1.99E+04,119736,9396,1.21E+04,1.44E+04
,,cys416(M10),2.97E+03,8.40E+03,5.43E+04,5.44E+03,6.12E+03,7.26E+03
,,cys417(M11),4.14E+03,9.12E+03,1.59E+04,4.36E+03,7406,6.05E+03
,,cys418(M12),1.92E+03,6.49E+03,2.70E+03,1.84E+03,3.28E+03,3.29E+03
glu__L_m,C16H36O2N1Si2,glu330(M0),1.55E+06,1.95E+06,1728771,8650022,8.35E+06,8802266
,,glu331(M1),8.73E+05,1.12E+06,941578,5.22E+06,5.14E+06,5.33E+06
,,glu332(M2),3458774,4.58E+06,3828107,9.34E+06,8.97E+06,9643324
,,glu333(M3),1748476,2.37E+06,1969117,3.46E+06,3.28E+06,3.57E+06
,,glu334(M4),2.31E+07,3.11E+07,26326277,2.61E+07,2.36E+07,26988521
,,glu335(M5),5.90E+06,8.07E+06,6808036,6573821,5.94E+06,6.81E+06
,,glu336(M6),2.35E+06,3.24E+06,2723248,2.63E+06,2.35E+06,2.72E+06
,,glu337(M7),3.84E+05,5.36E+05,442550,4.27E+05,3.87E+05,458554
,,glu338(M8),6.81E+04,9.17E+04,77512,7.65E+04,6.71E+04,8.41E+04
,,glu339(M9),7.31E+03,1.36E+04,1.04E+04,1.24E+04,1.12E+04,1.57E+04
,,glu340(M10),0,2.53E+03,1.36E+03,9296,8.88E+03,1.24E+04
glu__L_m,C19H42O4N1Si3,glu432(M0),1963984,2.52E+06,2207744,11094440,10531861,11109355
,,glu433(M1),1.06E+06,1.37E+06,1.15E+06,6579270,6304495,6.63E+06
,,glu434(M2),1.66E+06,2.18E+06,1.86E+06,5.88E+06,5.69E+06,5.95E+06
,,glu435(M3),3836327,5.14E+06,4.13E+06,1.05E+07,9.93E+06,1.08E+07
,,glu436(M4),2649455,3.70E+06,3036488,4928915,4.63E+06,5060500
,,glu437(M5),28887959,3.88E+07,32374483,3.32E+07,3.01E+07,3.43E+07
,,glu438(M6),9611810,1.32E+07,11066939,1.10E+07,9.91E+06,1.14E+07
,,glu439(M7),4.67E+06,6.41E+06,5298029,5.24E+06,4.71E+06,5.41E+06
,,glu440(M8),997650,1.39E+06,1162195,1125161,1018298,1.17E+06
,,glu441(M9),2.53E+05,3.78E+05,280121,2.79E+05,2.62E+05,2.94E+05
,,glu442(M10),4.15E+04,6.66E+04,4.24E+04,4.39E+04,4.37E+04,5.03E+04
lys__L_c,C17H41N2Si2,lys329(M0),7.37E+05,1.36E+06,7.71E+05,2.86E+05,4.90E+05,7.19E+05
,,lys330(M1),228976,4.20E+05,2.34E+05,88688,1.50E+05,2.22E+05
,,lys331(M2),84038,1.60E+05,84187,3.22E+04,54932,8.15E+04
,,lys332(M3),16849,32600,16935,5534,1.13E+04,15405
,,lys333(M4),4.18E+03,5.63E+03,2.95E+03,3198,3.19E+03,5.14E+03
,,lys334(M5),0,0,0,0,0,0
,,lys335(M6),1.05E+03,0,0,4.24E+02,4.13E+02,1.66E+02
,,lys336(M7),1.74E+02,7.02E+02,6.94E+01,4.46E+02,0,4.61E+02
,,lys337(M8),1.44E+05,1.35E+04,8.91E+03,1.33E+05,1.01E+04,9.58E+03
,,lys338(M9),4.92E+04,7428,5.20E+03,4.70E+04,5.54E+03,5656
lys__L_c,C20H47O2N2Si3,lys431(M0),5.12E+05,9.38E+05,531866,198858,342188,5.05E+05
,,lys432(M1),1.97E+05,3.61E+05,207710,7.66E+04,1.32E+05,1.93E+05
,,lys433(M2),8.70E+04,1.60E+05,9.47E+04,3.64E+04,5.85E+04,88384
,,lys434(M3),21429,39911,25444,9.00E+03,1.52E+04,20793
,,lys435(M4),4.97E+03,9.24E+03,6.13E+03,6.98E+03,9.63E+03,1.80E+04
,,lys436(M5),2.49E+03,2.17E+03,1.51E+03,4026,4.78E+03,7950
,,lys437(M6),0,0,0,788,1424,8.24E+03
,,lys438(M7),347,0,351,1177,1.82E+03,5.79E+03
,,lys439(M8),1.88E+03,8.54E+02,2451,5.51E+03,5.48E+03,1.14E+04
,,lys440(M9),9.78E+02,1.57E+03,1262,2572,2739,3.66E+03
,,lys441(M10),5513,3.65E+03,7.21E+03,1.68E+03,2.64E+03,4153
,,lys442(M11),8.56E+02,1.87E+03,1656,7.07E+02,4.04E+02,1.39E+03
,,lys443(M12),2.17E+03,2.40E+03,2.68E+03,3.29E+03,3.62E+03,1852
gln__L_c,C19H43O3N2Si3,gln431(M0),374361,5.21E+05,4.62E+04,5.94E+05,299009,918235
,,gln432(M1),1.45E+05,2.07E+05,15762,2.95E+05,1.51E+05,462997
,,gln433(M2),1.13E+05,1.42E+05,10111,2.45E+05,1.25E+05,3.81E+05
,,gln434(M3),1.10E+05,1.55E+05,9091,4.24E+05,2.13E+05,675973
,,gln435(M4),1.01E+06,1.47E+06,5.20E+04,788811,3.41E+05,1.31E+06
,,gln436(M5),2.62E+07,35945536,1.51E+06,1.82E+07,7.94E+06,2.85E+07
,,gln437(M6),8.81E+06,1.24E+07,4.80E+05,6.08E+06,2.57E+06,9.78E+06
,,gln438(M7),4228310,6029542,226206,2880368,1.22E+06,4.71E+06
ade_c,C13H24N5Si2,ade306(M0),3922897,4571482,5.28E+06,3.57E+06,5.01E+06,6799515
,,ade307(M1),1168085,1351079,1.58E+06,1.07E+06,1.52E+06,2048755
,,ade308(M2),446279,5.15E+05,5.92E+05,4.22E+05,540137,7.79E+05
,,ade309(M3),97579,111922,1.23E+05,84571,1.08E+05,1.50E+05
,,ade310(M4),24564,2.88E+04,23173,3.04E+04,3.29E+04,5.22E+04
,,ade311(M5),53137,3.16E+04,17959,1.14E+04,10504,21236
,,ade312(M6),1.48E+04,6796,5.90E+03,2.21E+03,4.35E+02,5629
cit_m,C20H39O6Si3,cit459(M0),1.81E+04,18561,2.20E+04,1079993,1036327,1.14E+06
,,cit460(M1),1.02E+04,1.00E+04,1.13E+04,5.67E+05,5.55E+05,601266
,,cit461(M2),1.34E+04,1.58E+04,1.56E+04,5.83E+05,5.79E+05,6.29E+05
,,cit462(M3),1.60E+04,23082,2.12E+04,4.59E+05,4.50E+05,485201
,,cit463(M4),3.22E+04,46681,3.73E+04,9.38E+05,8.96E+05,1.01E+06
,,cit464(M5),4.87E+04,8.07E+04,6.79E+04,497184,4.85E+05,535822
,,cit465(M6),1.98E+04,32781,2.62E+04,2.22E+05,2.16E+05,2.39E+05
,,cit466(M7),7322,1.45E+04,1.14E+04,69446,6.38E+04,7.42E+04
,,cit467(M8),1.84E+03,3.55E+03,2.39E+03,1.83E+04,1.70E+04,1.89E+04
,,cit468(M9),9.23E+02,1.19E+03,8.62E+02,3494,3.56E+03,3602
cit_m,C26H55O7Si4,cit591(M0),7.43E+03,7.96E+03,9448,4.25E+05,3.99E+05,4.44E+05
,,cit592(M1),4440,5084,5342,265621,258222,282892
,,cit593(M2),5228,6203,6346,272656,263501,2.84E+05
,,cit594(M3),7.08E+03,9727,8896,2.11E+05,2.09E+05,224610
,,cit595(M4),14372,19707,16065,386736,374510,4.27E+05
,,cit596(M5),20102,31316,28701,239692,231347,261219
,,cit597(M6),10110,16258,14245,118951,113101,130958
,,cit598(M7),4707,8213,6659,42762,43401,48017
,,cit599(M8),1.57E+03,2205,2139,12297,13549,14030
,,cit600(M9),948,1507,185,3644,3292,3986
